Notes:   Date: 2024-09-24 13:57:57
Wavelength C:/Users/javie/OneDrive - Scuola Superiore Sant'Anna/Documents/GitHub/PyOsaGui/temp/fas.csv (nm),Power Trace 1 (dBm),Power Trace 2 (dBm)
1503.3725490196048,-20.09600367413198,-21.25437695139456
1503.392156862742,-20.72384861314854,-20.91338713487217
1503.4117647058792,-20.299286883360335,-20.600673880484425
1503.4313725490165,-20.533917239389353,-20.825068986129118
1503.4509803921537,-20.379758544737342,-20.995457226728814
1503.470588235291,-20.592811904937047,-21.160694555623284
1503.4901960784282,-19.82555031889511,-20.800706816305002
1503.5098039215654,-20.48976057388867,-20.575449863711476
1503.5294117647027,-20.446794622086063,-20.764468301608346
1503.54901960784,-20.124460374253136,-20.546010094158888
1503.5686274509771,-20.36288923879926,-20.5890675409407
1503.5882352941144,-20.41639888245185,-21.036612806337324
1503.6078431372516,-20.41583069233785,-20.81645731710021
1503.6274509803889,-19.95262400191935,-20.746851930644983
1503.647058823526,-20.368423797919498,-21.250089807223382
1503.6666666666633,-20.13891641055584,-20.608081355519754
1503.6862745098006,-20.090187222454468,-20.910186090660137
1503.7058823529378,-19.89076334380495,-21.194014087555153
1503.725490196075,-19.651054993316794,-21.11015953481206
1503.7450980392123,-19.639641372367574,-20.460089610544156
1503.7647058823495,-20.433349131313616,-20.43861412730378
1503.7843137254868,-19.490632003706036,-20.235541338283547
1503.803921568624,-20.002169553885942,-20.436077853682953
1503.8235294117612,-20.364241618078452,-20.354267602796718
1503.8431372548985,-19.980319576534743,-20.8088962098476
1503.8627450980357,-19.949622260358826,-20.878530694555465
1503.882352941173,-20.189609381535746,-21.006873170262864
1503.9019607843102,-19.988596609837707,-20.678237257181227
1503.9215686274474,-19.913385262893897,-20.15574198623629
1503.9411764705847,-20.007043536686393,-20.73995162546971
1503.960784313722,-20.006281528284266,-20.397395904118227
1503.9803921568591,-20.214944732343476,-20.412973745944726
1503.9999999999964,-19.92735578804409,-20.304120216189762
1504.0196078431336,-19.88404761301338,-20.175176430118153
1504.0392156862708,-19.509833758705508,-20.19557478358853
1504.058823529408,-19.479914320863397,-20.719006760727556
1504.0784313725453,-19.582907553341986,-20.339243686943384
1504.0980392156825,-19.81698239642555,-20.06456998921447
1504.1176470588198,-19.791489838937494,-20.44823157497238
1504.137254901957,-19.155580764213653,-20.584278538517985
1504.1568627450943,-19.632566250114845,-19.969383552849006
1504.1764705882315,-19.880729755018443,-20.722579208121907
1504.1960784313687,-19.658504550831605,-20.247980748186993
